Item,Qty,Function,Manufacturer,Manufacturer Part Number,Status,Notes
1,1,Solar charger / NVDC power path,Texas Instruments,BQ25798RQMR,Selected,Buck-boost charger with MPPT and programmable 2S LiFePO4 charge profile.
2,1,Battery monitor / protector,Texas Instruments,BQ76905RGRR,Selected,2S-5S battery monitor/protector; low-side protection topology.
3,2,Battery protection NFET,Texas Instruments,CSD18532Q5B,Preliminary,TI-reference-class protection MOSFET; final production optimization not completed.
4,1,3.3 V buck regulator,Texas Instruments,TPS62130A,Selected,3 A synchronous buck. Exact ordering suffix should match KiCad schematic.
5,1,Microcontroller,STMicroelectronics,STM32U031K8,Selected,Exact ordering suffix / package code should match KiCad schematic before release.
6,1,Temperature / humidity sensor,Sensirion,SHT45-AD1F,Selected,Filtered environmental sensor with PTFE membrane.
7,2,LiFePO4 18650 cell,Zeus Battery Products,PCIFR18650-1500,Reference / specified,Two cells used in 2S1P off-board battery pack.
8,1,Charger inductor,TBD,TBD,TBD - not finalized within time box,2.2 uH; saturation current >= 3 A. Final MPN requires ripple/current/thermal check.
9,1,Battery current shunt,TBD,TBD,TBD - not finalized within time box,"10 mOhm, >= 1 W, 1%; Kelvin-routed."
10,1,Solar input fuse,TBD,TBD,TBD - not finalized within time box,1 A one-time fuse; temperature derating to be checked.
11,1,Solar input connector,TBD,TBD,TBD - not finalized within time box,2-pin keyed M8 bulkhead connector.
12,1,Battery connector,TBD,TBD,TBD - not finalized within time box,"4-pin locking connector: Cell+, midpoint, Cell-, NTC."
13,1,Radio connector,TBD,TBD,TBD - not finalized within time box,8-pin locking connector; duplicated 3V3 and GND plus UART/reset/IRQ.
14,1,Radio bulk capacitor,TBD,TBD,TBD - not finalized within time box,~220 uF low-ESR near radio connector; plus local ceramic decoupling.
15,1,Charge-enable NMOS,TBD,TBD,TBD - not finalized within time box,BSS138 / 2N7002-class NMOS used for fail-safe active-low CE control.
16,1,Solar input transient suppressor,TBD,TBD,TBD - not finalized within time box,Final TVS selection requires clamp-voltage analysis versus cold panel Voc and BQ25798 limits.
17,1,Battery NTC,TBD,TBD,TBD - not finalized within time box,10 kOhm NTC bonded to battery pack; beta/tolerance to be finalized.
18,1,Solar panel,SLD Tech / Solarland class,TBD,Provisional,"Nominal 12 V, approximately 10 W monocrystalline panel; exact model not frozen."
19,2,Status LEDs,TBD,TBD,TBD - not finalized within time box,High-efficiency LEDs; normally off in field operation.
20,1,SWD programming interface,TBD,TBD,TBD - not finalized within time box,5/6-pin programming/debug connector or compact equivalent.
21,misc.,Passive components,TBD,TBD,Partially defined,X7R/X5R capacitors and 1% resistors. Critical values are defined in schematic; final production MPN selection remains.
